,,Compound,,,,,,,,,,,Accesories,,,,,,,,,,,,,,,,,,
4,,205x4,75x6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,205x3,85x4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
super,,135x10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/11/2022,140.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,95x15,,,,,,,30x20,,,,5,5,,,,,,,,,,,,,
2,,,,,,115x10,,,,,,,40x15,,,,6,6,,,,,,,,,,,,,
3,,,,,,135x3,,,,,,,50x10,,,,7,7,,,,,,,,,,,,,
4,,,,,,145x1,,,,,,,60x5,,,,5,8,,,,,,,,,,,,,
5,,,,,,135x2,,,,,,,60x5,,,,9,9,,,,,,,,,,,,,
super,,,,,,95x15,,,,,,,30x10,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/15/2022,140.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,95x0,,,,95x20,,,,,,,40x15,,,,,,,30,,,,,,,,,,,
2,,135x15,,,,115x12,,,,,,,50x10,,,,,,,30,,,,,,,,,,,
3,,185x7,,,,135x4,,,,,,,60x10,,,,,,,30,,,,,,,,,,,
4,,205x4,,,,145x3,,,,,,,70x8,,,,,,,,,,,,,,,,,,
5,,205x3,,,,135x6,,,,,,,80x5,,,,,,,,,,,,,,,,,,
super,,135x10,,,,95x14,,,,,,,50x10,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/17/2022,141.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,45x20,135x20,,,,,,,,,40x15,,,,,,,,,,,,,,,,,,
2,,,55x12,185x10,,,,,,,,,50x10,,,,,,,,,,,,,,,,,,
3,,,65x7,235x4,,,,,,,,,60x10,,,,,,,,,,,,,,,,,,
4,,,75x5,245x3,,,,,,,,,70x10,,,,,,,,,,,,,,,,,,
5,,,85x3,245x2,,,,,,,,,80x7,,,,,,,,,,,,,,,,,,
super,,,,,,,,,,,,,50x0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/23/2022,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,95x0,,,,95x20,,,,,,,,,,,,,,,,,,,,,,,,,
2,,135x20,,,,115x12,,,,,,,,,,,,,,,,,,,,,,,,,
3,,185x10,,,,135x6,,,,,,,,,,,,,,,,,,,,,,,,,
4,,205x5,,,,145x4,,,,,,,,,,,,,,,,,,,,,,,,,
5,,205x4,,,,135x6,,,,,,,,,,,,,,,,,,,,,,,,,
super,,135x7,,,,95x15,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/25/2022,141.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,45x20,135x20,,,,,,,,,50x15,,,,,,,,,,,,,,,,,,
2,,,55x12,185x10,,,,,,,,,60x10,,,,,,,,,,,,,,,,,,
3,,,65x7,235x6,,,,,,,,,70x10,,,,,,,,,,,,,,,,,,
4,,,75x5,245x4,,,,,,,,,80x7,,,,,,,,,,,,,,,,,,
5,,,85x3,245x4,,,,,,,,,90x4,,,,,,,,,,,,,,,,,,
super,,,55x7,,,,,,,,,,50x0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/28/2022,141.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,135x20,,,,95x20,,,,,,,,,,,,,15,,,,,,,,,,,,
2,,185x8,,,,115x7,,,,,,,,,,,,,15,,,,,,,,,,,,
3,,205x5,,,,135x6,,,,,,,,,,,,,15,,,,,,,,,,,,
4,,205x5,,,,145x4,,,,,,,,,,,,,10,,,,,,,,,,,,
5,,215x2,,,,135x6,,,,,,,,,,,,,0,,,,,,,,,,,,
super,,,,,,95x15,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/6/2022,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,135x20,,,,95x20,,,,,,,,,,,,,11,35,,,,,,,,,,,
2,,185x8,,,,115x7,,,,,,,,,,,,,12,35,,,,,,,,,,,
3,,205x5,,,,135x5,,,,,,,,,,,,,13,20,,,,,,,,,,,
4,,205x2,,,,135x5,,,,,,,,,,,,,14,,,,,,,,,,,,
5,,215x2,,,,135x5,,,,,,,,,,,,,15,,,,,,,,,,,,
super,,,,,,95x15,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/2022,142.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,45x20,135x20,,,,,,,,,50x15,,,,,,,,,,,,,,,,,,
2,,,65x8,185x10,,,,,,,,,70x10,,,,,  ,,,,,,,,,,,,,
3,,,85x5,235x6,,,,,,,,,80x7,,,,,,,,,,,,,,,,,,
4,,,95x2,245x4,,,,,,,,,90x5,,,,,,,,,,,,,,,,,,
5,,,75x7,255x2,,,,,,,,,100x3,,,,,,,,,,,,,,,,,,
super,,,55x7,,,,,,,,,,50x0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/11/2022,142.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,135x12,,,,95x15,,,,,,,,,,,,,,,,,,,,,,,,,
2,,185x8,,,,115x7,,,,,,,,,,,,,,,,,,,,,,,,,
3,,205x5,,,,135x5,,,,,,,,,,,,,,,,,,,,,,,,,
4,,215x2,,,,145x3,,,,,,,,,,,,,,,,,,,,,,,,,
5,,225x2,,,,150x1,,,,,,,,,,,,,,,,,,,,,,,,,
super,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2022,142.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,45x20,135x12,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,65x8,185x10,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,85x5,235x6,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,95x1,255x3,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,85x4,255x2,,,,,,,,,,,,,,,,,,,,,,,,,,,
super,,,55x7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/16/2022,142.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,135x12,,,,95x15,,,,,,,50x15,,,,,,,,,,,,,,,,,,
2,,185x8,,,,115x10,,,,,,,70x10,,,,,,,,,,,,,,,,,,
3,,205x5,,,,135x7,,,,,,,80x7,,,,,,,,,,,,,,,,,,
4,,215x2,,,,145x5,,,,,,,90x5,,,,,,,,,,,,,,,,,,
5,,235x2,,,,150x3,,,,,,,100x3,,,,,,,,,,,,,,,,,,
super,,,,,,,,,,,,,50x0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/18/2022,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,45x20,,,,,,,,,,,,,,,,16,,,,,,,,,,,,
2,,,65x8,,,,,,,,,,,,,,,,15,,,,,,,,,,,,
3,,,85x5,,,,,,,,,,,,,,,,13,,,,,,,,,,,,
4,,,95x2,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
5,,,85x5,,,,,,,,,,,,,,,,12,,,,,,,,,,,,
super,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/20/2022,143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,135x12,,95x15,,,,,,,,,,,,,,30,,,,,,,,,,,
2,,,,185x10,,115x10,,,,,,,,,,,,,,30,,,,,,,,,,,
3,,,,235x8,,135x7,,,,,,,,,,,,,,0,,,,,,,,,,,
4,,,,255x4,,145x5,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,265x4,,150x3,,,,,,,,,,,,,,,,,,,,,,,,,
super,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/22/2022,143.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,135x10,,,,95x15,,,,,,,50x15,,,,,,,,,,,,,,,,,,
2,,185x8,,,,115x10,,,,,,,70x10,,,,,,,,,,,,,,,,,,
3,,205x5,,,,135x7,,,,,,,80x7,,,,,,,,,,,,,,,,,,
4,,215x2,,,,145x5,,,,,,,90x5,,,,,,,,,,,,,,,,,,
5,,235x2,,,,150x3,,,,,,,100x3,,,,,,,,,,,,,,,,,,
super,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/27/2022,143.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,135x10,45x20,,,,,,,,,,45x8,,45x8,,,,10,,,,,,,,,,,,
2,,185x8,65x8,,,,,,,,,,45x8,,45x8,,,,10,,,,,,,,,,,,
3,,205x5,85x6,,,,,,,,,,45x8,,45x8,,,,10,,,,,,,,,,,,
4,,215x3 ,95x2,,,,,,,,,,,,,,,,10,,,,,,,,,,,,
5,,235x2,85x5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
super,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/29/2022,143.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,45x20,,,,,,,,,,45x8,,45x8,,,,10,,,,,,,,,,,,
2,,,65x8,,,,,,,,,,45x8,,45x8,,,,10,,,,,,,,,,,,
3,,,85x6,,,,,,,,,,45x8,,45x8,,,,10,,,,,,,,,,,,
4,,,95x2,,,,,,,,,,,,,,,,10,,,,,,,,,,,,
5,,,85x6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
super,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2022,144.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,135x12,,95x15,,,,,,,,,,,,,,30,,,,,,,,,,,
2,,,,185x10,,115x10,,,,,,,,,,,,,,30,,,,,,,,,,,
3,,,,235x8,,135x7,,,,,,,,,,,,,,30,,,,,,,,,,,
4,,,,265x4,,145x5,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,275x2,,155x2,,,,,,,,,,,,,,,,,,,,,,,,,
super,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/4/2022,144.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,135x10,,,,,,,,,,,45x8,,45x8,,,,10,,,,,,,,,,,,
2,,185x10,,,,,,,,,,,45x8,,45x8,,,,10,,,,,,,,,,,,
3,,225x4,,,,,,,,,,,45x8,,45x8,,,,10,,,,,,,,,,,,
4,,225x4,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,
5,,225x4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
super,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/7/2022,144.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,135x12,,95x15,,,,,,,50x15,,,,,,,,,,,,,,,,,,
2,,,,225x10,,115x10,,,,,,,70x10,,,,,,,,,,,,,,,,,,
3,,,,255x8,,135x7,,,,,,,80x7,,,,,,,,,,,,,,,,,,
4,,,,275x2,,145x5,,,,,,,90x5,,,,,,,,,,,,,,,,,,
5,,,,275x2,,135x8,,,,,,,100x3,,,,,,,,,,,,,,,,,,
super,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/10/2022,144.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,135x10,45x20,,,,,,,,,,,,,,6,,10,,,,,,,,,,,,
2,,185x10,65x8,,,,,,,,,,,,,,6,,10,,,,,,,,,,,,
3,,205x6,85x6,,,,,,,,,,,,,,,,10,,,,,,,,,,,,
4,,205x4,95x2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,205x5,100x2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
super,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/12/2022,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,95x15,,,,,,,55x6,,55x6,,,,12,,,,,,,,,,,,
2,,,,,,115x10,,,,,,,55x6,,55x6,,,,12,,,,,,,,,,,,
3,,,,,,135x8,,,,,,,55x6,,55x6,,,,12,,,,,,,,,,,,
4,,,,,,135x8,,,,,,,,,,,,,12,,,,,,,,,,,,
5,,,,,,135x8,,,,,,,,,,,,,,,,,,,,,,,,,
super,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2022,145.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,135x12,,,,,,,,,70x10,,,,,,12,,,,,,,,,,,,
2,,,,225x10,,,,,,,,,80x7,,,,,,12,,,,,,,,,,,,
3,,,,255x8,,,,,,,,,90x5,,,,,,12,,,,,,,,,,,,
4,,,,275x4,,,,,,,,,100x3,,,,,,12,,,,,,,,,,,,
5,,,,275x4,,,,,,,,,100x3,,,,,,,,,,,,,,,,,,
super,,,,295x1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/17/2022,145.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,135x10,,,,95x15,,,,,,,,,,,,,12,,,,,,,,,,,,
2,,185x10,,,,115x10,,,,,,,,,,,,,12,,,,,,,,,,,,
3,,225x4,,,,135x7,,,,,,,,,,,,,12,,,,,,,,,,,,
4,,225x4,,,,155x4,,,,,,,,,,,,,,,,,,,,,,,,,
5,,185x5,,,,160x1,,,,,,,,,,,,,,,,,,,,,,,,,
super,,,,,,135x6,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/22/2022,145.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,135x10,,,,95x20,,,,,,,55x6,,55x6,,,,,,,,,,,,,,,,
2,,185x10,,,,115x12,,,,,,,55x6,,55x6,,,,,,,,,,,,,,,,
3,,225x4,,,,135x7,,,,,,,55x6,,55x6,,,,,,,,,,,,,,,,
4,,225x2,,,,135x7,,,,,,,,,,,,,,,,,,,,,,,,,
5,,205x6,,,,135x7,,,,,,,,,,,,,,,,,,,,,,,,,
super,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/2022,145.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,135x10,45x20,,,,,,,,,,,,,,7,,12,,,,,,,,,,,,
2,,185x10,65x8,,,,,,,,,,,,,,6,,12,,,,,,,,,,,,
3,,225x4,85x6,,,,,,,,,,,,,,5,,12,,,,,,,,,,,,
4,,225x4,95x2,,,,,,,,,,,,,,4,,12,,,,,,,,,,,,
5,,225x4,95x3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
super,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/29/2022,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,135x12,,95x15,,,,,,,55x6,,55x6,,,,,,,,,,,,,,,,
2,,,,225x10,,115x10,,,,,,,55x6,,55x6,,,,,,,,,,,,,,,,
3,,,,255x8,,135x7,,,,,,,55x6,,55x6,,,,,,,,,,,,,,,,
4,,,,275x4,,155x4,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,275x4,,160x1,,,,,,,,,,,,,,,,,,,,,,,,,
super,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/2022,146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,135x10,45x15,,,,,,,,,,70x10,,,,,,12,,,,,,,,,,,,
2,,185x10,75x8,,,,,,,,,,80x7,,,,,,12,,,,,,,,,,,,
3,,225x4,95x4,,,,,,,,,,90x5,,,,,,12,,,,,,,,,,,,
4,,235x2,100x2,,,,,,,,,,100x7,,,,,,12,,,,,,,,,,,,
5,,225x4,105x2,,,,,,,,,,110x5,,,,,,,,,,,,,,,,,,
super,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/19/2022,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,95x15,45x15,,,,,,,,,,70x10,,,,,,,,,,,,,,,,,,
2,,135x10,65x10,,,,,,,,,,80x7,,,,,,,,,,,,,,,,,,
3,,135x10,85x3,,,,,,,,,,90x4,,,,,,,,,,,,,,,,,,
4,,185x3,65x5,,,,,,,,,,80x5,,,,,,,,,,,,,,,,,,
5,,135x10,65x5,,,,,,,,,,70x10,,,,,,,,,,,,,,,,,,
super,,135x10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/21/2022,140.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,135x15,,45x15,,,,,,,,,,,,,10,,,,,,,,,,,,
2,,,,185x10,,95x10,,,,,,,,,,,,,10,,,,,,,,,,,,
3,,,,225x6,,115x8,,,,,,,,,,,,,10,,,,,,,,,,,,
4,,,,225x6,,135x4,,,,,,,,,,,,,7,,,,,,,,,,,,
5,,,,255x4,,135x4,,,,,,,,,,,,,,,,,,,,,,,,,
super,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/11/2022,139.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,95x15,,,,95x15,,,,,,,70x10,,,,,,8,,,,,,,,,,,,
2,,135x15,,,,115x8,,,,,,,80x8,,,,,,8,,,,,,,,,,,,
3,,185x6,,,,115x6,,,,,,,90x4,,,,,,8,,,,,,,,,,,,
4,,185x5,,,,115x5,,,,,,,80x6,,,,,,4,,,,,,,,,,,,
5,,185x5,,,,115x5,,,,,,,70x6,,,,,,,,,,,,,,,,,,
super,,135x10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/12/2022,139.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,70x10,,50x10,,6,,10,,,,,,,,,,,,
2,,,,,,,,,,,,,80x8,,50x7,,6,,10,,,,,,,,,,,,
3,,,,,,,,,,,,,90x4,,50x5,,6,,7,,,,,,,,,,,,
4,,,,,,,,,,,,,80x6,,50x7,,6,,7,,,,,,,,,,,,
5,,,,,,,,,,,,,70x6,,,,,,7,,,,,,,,,,,,
super,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/16/2022,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,135x10,45x15,,,,,,,,,,70x10,,,,,,,,,,,,,,,,,,
2,,185x8,65x10,,,,,,,,,,80x8,,,,,,,,,,,,,,,,,,
3,,205x4,85x4,,,,,,,,,,90x4,,,,,,,,,,,,,,,,,,
4,,205x4,65x7,,,,,,,,,,80x6,,,,,,,,,,,,,,,,,,
5,,135x10,65x7,,,,,,,,,,70x6,,,,,,,,,,,,,,,,,,
super,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/18/2022,140.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,135x10,,,,95x10,,,,,,,70x10,,,50x10,,,7,,,,,,,,,,,,
2,,185x8,,,,115x8,,,,,,,70x10,,,50x10,,,7,,,,,,,,,,,,
3,,205x4,,,,135x4,,,,,,,70x10,,,50x10,,,7,,,,,,,,,,,,
4,,205x4,,,,115x6,,,,,,,70x10,,,,,,7,,,,,,,,,,,,
5,,135x10,,,,115x6,,,,,,,,,,,,,,,,,,,,,,,,,
super,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/21/2022,140.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,135x10,,,,,,,,,,,70x12,,,,,,9,,,,,,,,,,,,
2,,185x6,,,,,,,,,,,70x12,,,,,,9,,,,,,,,,,,,
3,,185x6,,,,,,,,,,,80x8,,,,,,9,,,,,,,,,,,,
4,,205x4,,,,,,,,,,,80x8,,,,,,9,,,,,,,,,,,,
5,,135x10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
super,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/28/2022,141.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,135x10,,,,95x10,,,,,,,,,,,,,12,,,,,,,,,,,,
2,,185x6,,,,115x8,,,,,,,,,,,,,11,,,,,,,,,,,,
3,,205x4,,,,135x4,,,,,,,,,,,,,10,,,,,,,,,,,,
4,,225x2,,,,135x4,,,,,,,,,,,,,10,,,,,,,,,,,,
5,,135x10,,,,115x6,,,,,,,,,,,,,,,,,,,,,,,,,
super,,,,,,95x10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/30/2022,141.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,45x15,135x15,,,,,,,,,70x10,,,,,,12,,,,,,,,,,,,
2,,,65x10,185x10,,,,,,,,,70x10,,,,,,12,,,,,,,,,,,,
3,,,85x6,225x6,,,,,,,,,70x10,,,,,,12,,,,,,,,,,,,
4,,,85x4,225x6,,,,,,,,,70x10,,,,,,12,,,,,,,,,,,,
5,,,65x7,255x4,,,,,,,,,,,,,,,,,,,,,,,,,,,
super,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/2/2022,141.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,135x10,,,,95x10,,,,,,,,,,,,,14,,,,,,,,,,,,
2,,185x6,,,,115x6,,,,,,,,,,,,,12,,,,,,,,,,,,
3,,225x4,,,,135x5,,,,,,,,,,,,,10,,,,,,,,,,,,
4,,225x4,,,,135x4,,,,,,,,,,,,,12,,,,,,,,,,,,
5,,235x1,,,,135x4,,,,,,,,,,,,,,,,,,,,,,,,,
super,,135x15,,,,115x10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/21/2022,138.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,135x10,,,,95x10,,,,,,,,,,,,,14,,,,,,,,,,,,
2,,185x6,,,,115x6,,,,,,,,,,,,,12,,,,,,,,,,,,
3,,225x3,,,,135x5,,,,,,,,,,,,,10,,,,,,,,,,,,
4,,225x2,,,,135x5,,,,,,,,,,,,,12,,,,,,,,,,,,
5,,185x6,,,,135x4,,,,,,,,,,,,,,,,,,,,,,,,,
super,,135x15,,,,115x10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/30/2022,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,135x15,,95x10,,,,,,,,,,,,,14,,20x25,,,,,,,,,,
2,,,,185x10,,115x6,,,,,,,,,,,,,12,,20x35,,,,,,,,,,
3,,,,225x6,,135x5,,,,,,,,,,,,,12,,,,,,,,,,,,
4,,,,245x4,,135x6,,,,,,,,,,,,,12,,,,,,,,,,,,
5,,,,275x2,,135x4,,,,,,,,,,,,,,,,,,,,,,,,,
super,,,,295x1,,115x10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2022,139.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,135x10,45x15,,,,,,,,,,,,,,,,14,,,,,,,,,,,,
2,,185x6,65x10,,,,,,,,,,,,,,,,14,,,,,,,,,,,,
3,,225x4,85x4,,,,,,,,,,,, ,,,,12,,,,,,,,,,,,
4,,245x1,95x2,,,,,,,,,,,,,,,,12,,,,,,,,,,,,
5,,185x6,65x7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
super,,135x15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
